mindate    ,maxdate    ,name                                                                                                       ,datacoverage ,id
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 55F                                             ,      1      ,ANN-GRDD-BASE55
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 57F                                             ,      1      ,ANN-GRDD-BASE57
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 60F                                             ,      1      ,ANN-GRDD-BASE60
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 65F                                             ,      1      ,ANN-GRDD-BASE65
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 70F                                             ,      1      ,ANN-GRDD-BASE70
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with base 72F                                             ,      1      ,ANN-GRDD-BASE72
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with truncated bases 48F and 86F                          ,      1      ,ANN-GRDD-TB4886
2010-01-01 ,2010-01-01 ,Long-term averages of annual growing degree days with truncated bases 50F and 86F                          ,      1      ,ANN-GRDD-TB5086
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 40F                                             ,      1      ,ANN-HTDD-BASE40
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 45F                                             ,      1      ,ANN-HTDD-BASE45
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 50F                                             ,      1      ,ANN-HTDD-BASE50
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 55F                                             ,      1      ,ANN-HTDD-BASE55
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 57F                                             ,      1      ,ANN-HTDD-BASE57
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 60F                                             ,      1      ,ANN-HTDD-BASE60
2010-01-01 ,2010-01-01 ,Long-term averages of annual heating degree days with base 65F                                             ,      1      ,ANN-HTDD-NORMAL
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with precipitation >= 0.01 inches                     ,      1      ,ANN-PRCP-AVGNDS-GE001HI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with precipitation >= 0.10 inches                     ,      1      ,ANN-PRCP-AVGNDS-GE010HI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with precipitation >= 0.50 inches                     ,      1      ,ANN-PRCP-AVGNDS-GE050HI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with precipitation >= 1.00 inches                     ,      1      ,ANN-PRCP-AVGNDS-GE100HI
2010-01-01 ,2010-01-01 ,Long-term averages of annual precipitation totals                                                          ,      1      ,ANN-PRCP-NORMAL
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snowfall >= 0.1 inches                           ,      1      ,ANN-SNOW-AVGNDS-GE001TI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snowfall >= 1.0 inches                           ,      1      ,ANN-SNOW-AVGNDS-GE010TI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snowfall >= 3.0 inches                           ,      1      ,ANN-SNOW-AVGNDS-GE030TI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snowfall >= 5.0 inches                           ,      1      ,ANN-SNOW-AVGNDS-GE050TI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snowfall >= 10.0 inches                          ,      1      ,ANN-SNOW-AVGNDS-GE100TI
2010-01-01 ,2010-01-01 ,Long-term averages of annual snowfall totals                                                               ,      1      ,ANN-SNOW-NORMAL
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snow depth >= 1 inch                             ,      1      ,ANN-SNWD-AVGNDS-GE001WI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snow depth >= 3 inches                           ,      1      ,ANN-SNWD-AVGNDS-GE003WI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snow depth >=5 inches                            ,      1      ,ANN-SNWD-AVGNDS-GE005WI
2010-01-01 ,2010-01-01 ,Long-term averages of number of days during the year with snow depth >=10 inches                           ,      1      ,ANN-SNWD-AVGNDS-GE010WI
2010-01-01 ,2010-01-01 ,Long-term averages of annual average temperature                                                           ,      1      ,ANN-TAVG-NORMAL
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 40F                       ,      1      ,ANN-TMAX-AVGNDS-GRTH040
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 50F                       ,      1      ,ANN-TMAX-AVGNDS-GRTH050
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 60F                       ,      1      ,ANN-TMAX-AVGNDS-GRTH060
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 70F                       ,      1      ,ANN-TMAX-AVGNDS-GRTH070
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 80F                       ,      1      ,ANN-TMAX-AVGNDS-GRTH080
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 90F                       ,      1      ,ANN-TMAX-AVGNDS-GRTH090
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is greater than or equal to 100F                      ,      1      ,ANN-TMAX-AVGNDS-GRTH100
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmax is less than or equal to 32F                          ,      1      ,ANN-TMAX-AVGNDS-LSTH032
2010-01-01 ,2010-01-01 ,Long-term averages of annual maximum temperature                                                           ,      1      ,ANN-TMAX-NORMAL
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 0F                           ,      1      ,ANN-TMIN-AVGNDS-LSTH000
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 10F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH010
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 20F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH020
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 32F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH032
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 40F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH040
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 50F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH050
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 60F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH060
2010-01-01 ,2010-01-01 ,Long-term average number of days per year where tmin is less than or equal to 70F                          ,      1      ,ANN-TMIN-AVGNDS-LSTH070
2010-01-01 ,2010-01-01 ,Long-term averages of annual minimum temperature                                                           ,      1      ,ANN-TMIN-NORMAL
2010-01-01 ,2010-01-01 ,10% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP10
2010-01-01 ,2010-01-01 ,20% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP20
2010-01-01 ,2010-01-01 ,30% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP30
2010-01-01 ,2010-01-01 ,40% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP40
2010-01-01 ,2010-01-01 ,50% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP50
2010-01-01 ,2010-01-01 ,60% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP60
2010-01-01 ,2010-01-01 ,70% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP70
2010-01-01 ,2010-01-01 ,80% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP80
2010-01-01 ,2010-01-01 ,90% probability date of first 16F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T16FP90
2010-01-01 ,2010-01-01 ,10% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP10
2010-01-01 ,2010-01-01 ,20% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP20
2010-01-01 ,2010-01-01 ,30% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP30
2010-01-01 ,2010-01-01 ,40% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP40
2010-01-01 ,2010-01-01 ,50% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP50
2010-01-01 ,2010-01-01 ,60% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP60
2010-01-01 ,2010-01-01 ,70% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP70
2010-01-01 ,2010-01-01 ,80% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP80
2010-01-01 ,2010-01-01 ,90% probability date of first 20F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T20FP90
2010-01-01 ,2010-01-01 ,10% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP10
2010-01-01 ,2010-01-01 ,20% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP20
2010-01-01 ,2010-01-01 ,30% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP30
2010-01-01 ,2010-01-01 ,40% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP40
2010-01-01 ,2010-01-01 ,50% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP50
2010-01-01 ,2010-01-01 ,60% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP60
2010-01-01 ,2010-01-01 ,70% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP70
2010-01-01 ,2010-01-01 ,80% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP80
2010-01-01 ,2010-01-01 ,90% probability date of first 24F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T24FP90
2010-01-01 ,2010-01-01 ,10% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP10
2010-01-01 ,2010-01-01 ,20% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP20
2010-01-01 ,2010-01-01 ,30% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP30
2010-01-01 ,2010-01-01 ,40% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP40
2010-01-01 ,2010-01-01 ,50% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP50
2010-01-01 ,2010-01-01 ,60% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP60
2010-01-01 ,2010-01-01 ,70% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP70
2010-01-01 ,2010-01-01 ,80% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP80
2010-01-01 ,2010-01-01 ,90% probability date of first 28F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T28FP90
2010-01-01 ,2010-01-01 ,10% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP10
2010-01-01 ,2010-01-01 ,20% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP20
2010-01-01 ,2010-01-01 ,30% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP30
2010-01-01 ,2010-01-01 ,40% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP40
2010-01-01 ,2010-01-01 ,50% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP50
2010-01-01 ,2010-01-01 ,60% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP60
2010-01-01 ,2010-01-01 ,70% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP70
2010-01-01 ,2010-01-01 ,80% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP80
2010-01-01 ,2010-01-01 ,90% probability date of first 32F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T32FP90
2010-01-01 ,2010-01-01 ,10% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP10
2010-01-01 ,2010-01-01 ,20% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP20
2010-01-01 ,2010-01-01 ,30% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP30
2010-01-01 ,2010-01-01 ,40% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP40
2010-01-01 ,2010-01-01 ,50% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP50
2010-01-01 ,2010-01-01 ,60% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP60
2010-01-01 ,2010-01-01 ,70% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP70
2010-01-01 ,2010-01-01 ,80% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP80
2010-01-01 ,2010-01-01 ,90% probability date of first 36F occurrence or earlier                                                    ,      1      ,ANN-TMIN-PRBFST-T36FP90
2010-01-01 ,2010-01-01 ,10% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP10
2010-01-01 ,2010-01-01 ,20% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP20
2010-01-01 ,2010-01-01 ,30% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP30
2010-01-01 ,2010-01-01 ,40% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP40
2010-01-01 ,2010-01-01 ,50% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP50
2010-01-01 ,2010-01-01 ,60% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP60
2010-01-01 ,2010-01-01 ,70% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP70
2010-01-01 ,2010-01-01 ,80% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP80
2010-01-01 ,2010-01-01 ,90% probability of 16F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T16FP90
2010-01-01 ,2010-01-01 ,10% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP10
2010-01-01 ,2010-01-01 ,20% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP20
2010-01-01 ,2010-01-01 ,30% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP30
2010-01-01 ,2010-01-01 ,40% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP40
2010-01-01 ,2010-01-01 ,50% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP50
2010-01-01 ,2010-01-01 ,60% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP60
2010-01-01 ,2010-01-01 ,70% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP70
2010-01-01 ,2010-01-01 ,80% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP80
2010-01-01 ,2010-01-01 ,90% probability of 20F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T20FP90
2010-01-01 ,2010-01-01 ,10% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP10
2010-01-01 ,2010-01-01 ,20% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP20
2010-01-01 ,2010-01-01 ,30% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP30
2010-01-01 ,2010-01-01 ,40% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP40
2010-01-01 ,2010-01-01 ,50% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP50
2010-01-01 ,2010-01-01 ,60% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP60
2010-01-01 ,2010-01-01 ,70% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP70
2010-01-01 ,2010-01-01 ,80% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP80
2010-01-01 ,2010-01-01 ,90% probability of 24F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T24FP90
2010-01-01 ,2010-01-01 ,10% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP10
2010-01-01 ,2010-01-01 ,20% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP20
2010-01-01 ,2010-01-01 ,30% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP30
2010-01-01 ,2010-01-01 ,40% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP40
2010-01-01 ,2010-01-01 ,50% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP50
2010-01-01 ,2010-01-01 ,60% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP60
2010-01-01 ,2010-01-01 ,70% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP70
2010-01-01 ,2010-01-01 ,80% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP80
2010-01-01 ,2010-01-01 ,90% probability of 28F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T28FP90
2010-01-01 ,2010-01-01 ,10% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP10
2010-01-01 ,2010-01-01 ,20% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP20
2010-01-01 ,2010-01-01 ,30% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP30
2010-01-01 ,2010-01-01 ,40% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP40
2010-01-01 ,2010-01-01 ,50% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP50
2010-01-01 ,2010-01-01 ,60% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP60
2010-01-01 ,2010-01-01 ,70% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP70
2010-01-01 ,2010-01-01 ,80% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP80
2010-01-01 ,2010-01-01 ,90% probability of 32F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T32FP90
2010-01-01 ,2010-01-01 ,10% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP10
2010-01-01 ,2010-01-01 ,20% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP20
2010-01-01 ,2010-01-01 ,30% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP30
2010-01-01 ,2010-01-01 ,40% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP40
2010-01-01 ,2010-01-01 ,50% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP50
2010-01-01 ,2010-01-01 ,60% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP60
2010-01-01 ,2010-01-01 ,70% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP70
2010-01-01 ,2010-01-01 ,80% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP80
2010-01-01 ,2010-01-01 ,90% probability of 36F growing season length or longer                                                     ,      1      ,ANN-TMIN-PRBGSL-T36FP90
2010-01-01 ,2010-01-01 ,10% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP10
2010-01-01 ,2010-01-01 ,20% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP20
2010-01-01 ,2010-01-01 ,30% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP30
2010-01-01 ,2010-01-01 ,40% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP40
2010-01-01 ,2010-01-01 ,50% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP50
2010-01-01 ,2010-01-01 ,60% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP60
2010-01-01 ,2010-01-01 ,70% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP70
2010-01-01 ,2010-01-01 ,80% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP80
2010-01-01 ,2010-01-01 ,90% probability date of last 16F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T16FP90
2010-01-01 ,2010-01-01 ,10% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP10
2010-01-01 ,2010-01-01 ,20% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP20
2010-01-01 ,2010-01-01 ,30% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP30
2010-01-01 ,2010-01-01 ,40% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP40
2010-01-01 ,2010-01-01 ,50% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP50
2010-01-01 ,2010-01-01 ,60% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP60
2010-01-01 ,2010-01-01 ,70% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP70
2010-01-01 ,2010-01-01 ,80% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP80
2010-01-01 ,2010-01-01 ,90% probability date of last 20F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T20FP90
2010-01-01 ,2010-01-01 ,10% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP10
2010-01-01 ,2010-01-01 ,20% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP20
2010-01-01 ,2010-01-01 ,30% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP30
2010-01-01 ,2010-01-01 ,40% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP40
2010-01-01 ,2010-01-01 ,50% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP50
2010-01-01 ,2010-01-01 ,60% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP60
2010-01-01 ,2010-01-01 ,70% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP70
2010-01-01 ,2010-01-01 ,80% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP80
2010-01-01 ,2010-01-01 ,90% probability date of last 24F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T24FP90
2010-01-01 ,2010-01-01 ,10% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP10
2010-01-01 ,2010-01-01 ,20% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP20
2010-01-01 ,2010-01-01 ,30% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP30
2010-01-01 ,2010-01-01 ,40% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP40
2010-01-01 ,2010-01-01 ,50% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP50
2010-01-01 ,2010-01-01 ,60% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP60
2010-01-01 ,2010-01-01 ,70% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP70
2010-01-01 ,2010-01-01 ,80% probability date of last 28F occurrence or later                                                       ,      1      ,ANN-TMIN-PRBLST-T28FP80
